Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled
"Spain","Fixed measurement","Sampling Point","SP_28127004_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2024","11363.00000000","96.92000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","27477","ARE_ES1310_7_LTO_V_AOT40c_2024","No","ZON_ES1310","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07054001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","4.00000000","95.63000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","9","ARE_ES0411_7_LTO_H_daysAbove_2024","No","ZON_ES0411","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","45.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","12","ARE_ES0504_5_LV_H_daysAbove_2024","No","ZON_ES0504","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","38.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","29","ARE_ES0511_5_LV_H_daysAbove_2024","No","ZON_ES0511","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_18021001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","5.00000000","95.36000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","29","ARE_ES0118_7_LTO_H_daysAbove_2024","No","ZON_ES0118","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_04013005_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","5.00000000","93.72000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","30","ARE_ES0122_7_LTO_H_daysAbove_2024","No","ZON_ES0122","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_08137001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","16.00000000","98.09000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","16","ARE_ES0908_7_LTO_H_daysAbove_2024","No","ZON_ES0908","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","38.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","true","49","ARE_ES0501_5_LV_H_daysAbove_2024","No","ZON_ES0501","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_23050004_14_6","O3","Ozone (air)","AOT40c-P5Y","AOT40 vegetation protection averaged over 5 years","2024","24465.00000000","94.24000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","18000","true","true","24465","ARE_ES0122_7_TV_V_AOT40c-5yr_2024","No","ZON_ES0122","Vegetation","Target Value (TV)","AOT40 vegetation protection averaged over 5 years","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_22125001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","4.00000000","96.17000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","8","ARE_ES0201_7_LTO_H_daysAbove_2024","No","ZON_ES0201","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","45.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","true","53","ARE_ES0504_5_LV_H_daysAbove_2024","No","ZON_ES0504","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","39.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","29","ARE_ES0508_5_LV_H_daysAbove_2024","No","ZON_ES0508","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_08283004_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","25.00000000","96.17000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","34","ARE_ES0906_7_LTO_H_daysAbove_2024","No","ZON_ES0906","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_06070001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","21.00000000","97.54000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","21","ARE_ES1104_7_LTO_H_daysAbove_2024","No","ZON_ES1104","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_11012002_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","3.00000000","95.90000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","8","ARE_ES0124_7_LTO_H_daysAbove_2024","No","ZON_ES0124","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
