Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled
"Spain","Fixed measurement","Sampling Point","SP_03140001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2025","2.00000000","91.78000000","Aggregation calculated by the EEA based on reported time series","count","0","true","","","ARE_ES1012_7_LTO_H_daysAbove_2025","Yes","ZON_ES1012","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07032999_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","95.94000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0409_7_INT_H_hrsAbove_2025","Yes","ZON_ES0409","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_21005002_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","86.29000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0130_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0130","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07003004_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","98.16000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0413_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0413","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_01059009_6_48","CO","Carbon monoxide (air)","P1Y-8hdmxAbove10","1 year daymax exceed 10","2025","0.00000000","99.18000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1607_10_LV_H_daysAbove_2025","Yes","ZON_ES1607","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_06083001_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","63.79000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1103_7_INT_H_hrsAbove_2025","Yes","ZON_ES1103","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07054001_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","98.11000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0411_7_INT_H_hrsAbove_2025","Yes","ZON_ES0411","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_11033009_6_48","CO","Carbon monoxide (air)","P1Y-8hdmxAbove10","1 year daymax exceed 10","2025","0.00000000","81.64000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0104_10_LV_H_daysAbove_2025","Yes","ZON_ES0104","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_08259002_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","1.00000000","99.44000000","Aggregation calculated by the EEA based on reported time series","count","0","true","","","ARE_ES0908_7_INT_H_hrsAbove_2025","Yes","ZON_ES0908","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_08301004_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2025","13.00000000","96.71000000","Aggregation calculated by the EEA based on reported time series","count","0","true","","","ARE_ES0901_7_LTO_H_daysAbove_2025","Yes","ZON_ES0901","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_12032001_6_48","CO","Carbon monoxide (air)","P1Y-8hdmxAbove10","1 year daymax exceed 10","2025","0.00000000","61.37000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1003_10_LV_H_daysAbove_2025","Yes","ZON_ES1003","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_04066009_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","99.02000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0116_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0116","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07032002_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2025","2.00000000","100.00000000","Aggregation calculated by the EEA based on reported time series","count","0","true","","","ARE_ES0409_7_LTO_H_daysAbove_2025","Yes","ZON_ES0409","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_33066004_6_48","CO","Carbon monoxide (air)","P1Y-8hdmxAbove10","1 year daymax exceed 10","2025","0.00000000","97.26000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0306_10_LV_H_daysAbove_2025","Yes","ZON_ES0306","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_03065006_6_48","CO","Carbon monoxide (air)","P1Y-8hdmxAbove10","1 year daymax exceed 10","2025","0.00000000","95.62000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1013_10_LV_H_daysAbove_2025","Yes","ZON_ES1013","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_03065007_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2025","18.00000000","95.07000000","Aggregation calculated by the EEA based on reported time series","count","0","true","","","ARE_ES1018_7_LTO_H_daysAbove_2025","Yes","ZON_ES1018","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_08205002_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","99.05000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0902_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0902","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_15030001_6_48","CO","Carbon monoxide (air)","P1Y-8hdmxAbove10","1 year daymax exceed 10","2025","0.00000000","95.07000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1219_10_LV_H_daysAbove_2025","Yes","ZON_ES1219","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_29032001_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","81.72000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0130_7_INT_H_hrsAbove_2025","Yes","ZON_ES0130","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_06015001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2025","0.00000000","57.53000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1102_7_LTO_H_daysAbove_2025","Yes","ZON_ES1102","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_03065006_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","95.13000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1013_7_ALT_H_hrsAbove_2025","Yes","ZON_ES1013","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
