Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled,Resident Population,Geographical Name,I
Spain,Fixed measurement,Sampling Point,SP_08022006_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2020,8674.0,97.55,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,8674.0,ARE_ES0910_7_LTO_V_AOT40c_2020,No,ZON_ES0910,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1.0,,0.0
Spain,Fixed measurement,Sampling Point,SP_21050002_14_6,O3,Ozone (air),P3Y-dmaxAbove120,Daymax exceed 120 averaged over 3 consecutive years,2020,29.0,100.0,Aggregation calculated by the EEA based on reported time series,count,25.0,True,True,50.0,ARE_ES0123_7_TV_H_daysAbove-3yr_2020,No,ZON_ES0123,Health,Target Value (TV),Days in exceedance averaged over 3 calendar years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1.0,,0.0
Spain,Fixed measurement,Sampling Point,SP_04064001_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2020,15019.0,97.64,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,21822.0,ARE_ES0123_7_LTO_V_AOT40c_2020,No,ZON_ES0123,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1.0,,0.0
Spain,Fixed measurement,Sampling Point,SP_02003001_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2020,10216.0,98.91,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,10216.0,ARE_ES0726_7_LTO_V_AOT40c_2020,No,ZON_ES0726,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,299757.0,SURESTE DE ALBACETE,9.325112585414505
Spain,Fixed measurement,Sampling Point,SP_07054001_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2020,11417.0,99.09,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,11417.0,ARE_ES0411_7_LTO_V_AOT40c_2020,No,ZON_ES0411,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,52148.0,EIVISSA,8.976117054717422
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2020,50.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,9.0,ARE_ES0501_5_LV_H_daysAbove_2020,No,ZON_ES0501,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,378675.0,LAS PALMAS DE GRAN CANARIA,7.968952334410266
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2020,37.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,6.0,ARE_ES0508_5_LV_H_daysAbove_2020,No,ZON_ES0508,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,116412.0,"LA PALMA, LA GOMERA Y EL HIERRO",5.355483336383628
Spain,Fixed measurement,Sampling Point,SP_04066003_14_6,O3,Ozone (air),AOT40c-P5Y,AOT40 vegetation protection averaged over 5 years,2020,24236.0,97.25,Aggregation calculated by the EEA based on reported time series,ug.m-3,18000.0,True,True,24236.0,ARE_ES0116_7_TV_V_AOT40c-5yr_2020,No,ZON_ES0116,Vegetation,Target Value (TV),AOT40 vegetation protection averaged over 5 years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,41407.0,ZONA INDUSTRIAL DE CARBONERAS,6.216633322289136
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2020,82.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,32.0,ARE_ES0510_5_LV_H_daysAbove_2020,No,ZON_ES0510,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,323354.0,SUR DE GRAN CANARIA,12.908389014012393
Spain,Fixed measurement,Sampling Point,SP_08283004_14_6,O3,Ozone (air),P3Y-dmaxAbove120,Daymax exceed 120 averaged over 3 consecutive years,2020,35.0,100.0,Aggregation calculated by the EEA based on reported time series,count,25.0,True,True,39.0,ARE_ES0906_7_TV_H_daysAbove-3yr_2020,No,ZON_ES0906,Health,Target Value (TV),Days in exceedance averaged over 3 calendar years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,159959.0,PLANA DE VIC,7.285612152607222
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2020,50.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,59.0,ARE_ES0501_5_LV_H_daysAbove_2020,No,ZON_ES0501,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,378675.0,LAS PALMAS DE GRAN CANARIA,7.968952334410266
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2020,48.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,11.0,ARE_ES0504_5_LV_H_daysAbove_2020,No,ZON_ES0504,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,275851.0,FUERTEVENTURA Y LANZAROTE,7.461496543100272
Spain,Fixed measurement,Sampling Point,SP_26066001_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2020,6501.0,96.74,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,10020.0,ARE_ES1705_7_LTO_V_AOT40c_2020,No,ZON_ES1705,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,154369.0,LA RIOJA,5.62180485839704
Spain,Fixed measurement,Sampling Point,SP_28079058_14_6,O3,Ozone (air),P3Y-dmaxAbove120,Daymax exceed 120 averaged over 3 consecutive years,2020,46.0,100.0,Aggregation calculated by the EEA based on reported time series,count,25.0,True,True,48.0,ARE_ES1301_7_TV_H_daysAbove-3yr_2020,No,ZON_ES1301,Health,Target Value (TV),Days in exceedance averaged over 3 calendar years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,3460491.0,MADRID,12.032013412290276
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2020,50.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,False,9.0,ARE_ES0501_5_LV_H_daysAbove_2020,No,ZON_ES0501,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,378675.0,LAS PALMAS DE GRAN CANARIA,7.968952334410266
Spain,Objective estimation,Model,OBE_ES_CSIC_NS_PM10_H_LV_daysAbove,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2020,37.0,,Maximum air pollution level identified by the EEA in reported modelling results within the zone.,count,35.0,True,True,43.0,ARE_ES0508_5_LV_H_daysAbove_2020,No,ZON_ES0508,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).,14/04/2026 22:28:00,116412.0,"LA PALMA, LA GOMERA Y EL HIERRO",5.355483336383628
Spain,Fixed measurement,Sampling Point,SP_08283004_14_6,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2020,16330.0,97.37,Aggregation calculated by the EEA based on reported time series,ug.m-3,6000.0,True,True,16330.0,ARE_ES0906_7_LTO_V_AOT40c_2020,No,ZON_ES0906,Vegetation,Long term objective (LTO),AOT40 vegetation protection,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,159959.0,PLANA DE VIC,14.163576958580471
